Gene	PFAM.domains
HEP_00414800	NA
HEP_00273300	NA
HEP_00146800	Pfam:PF00808.23(CBFD_NFYB_HMF),Pfam:PF00125.24(Histone)
HEP_00378600	NA
HEP_00390400	NA
HEP_00412100	NA
HEP_00091200	NA
HEP_00497200	NA
HEP_00388600	NA
HEP_00190700	NA
HEP_00370000	NA
HEP_00026900	NA
HEP_00424700	NA
HEP_00398900	Pfam:PF07496.15(zf-CW)
HEP_00010500	NA
HEP_00134500	NA
HEP_00321900	NA
HEP_00101500	Pfam:PF01391.18(Collagen)
HEP_00446500	NA
HEP_00295100	Pfam:PF00847.20(AP2)
HEP_00269300	NA
HEP_00102800	NA
HEP_00301700	NA
HEP_00035800	Pfam:PF07422.13(s48_45)
HEP_00523100	NA
HEP_00194800	NA
HEP_00261700	NA
HEP_00213800	Pfam:PF00847.20(AP2)
HEP_00466900	NA
HEP_00131800	NA
HEP_00508700	NA
HEP_00350900	Pfam:PF08573.10(SAE2)
HEP_00121400	NA
HEP_00294300	Pfam:PF01469.18(Pentapeptide_2)
HEP_00255900	NA
HEP_00110800	NA
HEP_00244400	Pfam:PF02213.16(GYF)
HEP_00389200	NA
HEP_00346500	NA
HEP_00337100	Pfam:PF00847.20(AP2)
HEP_00375100	NA
HEP_00456700	NA
HEP_00304800	NA
HEP_00143300	NA
HEP_00337500	Pfam:PF09756.9(DDRGK)
HEP_00061400	NA
HEP_00256300	NA
HEP_00416900	NA
HEP_00485000	NA
HEP_00512600	NA
HEP_00352200	Pfam:PF01494.19(FAD_binding_3)
HEP_00198100	NA
HEP_00169800	NA
HEP_00254800	NA
HEP_00471200	NA
HEP_00427600	NA
HEP_00035400	NA
HEP_00106800	NA
HEP_00429800	NA
HEP_00045700	NA
HEP_00092400	NA
HEP_00115700	Pfam:PF12947.7(EGF_3),Pfam:PF14670.6(FXa_inhibition)
HEP_00285900	NA
HEP_00166600	NA
HEP_00190900	Pfam:PF09811.9(Yae1_N)
HEP_00238800	NA
HEP_00195400	NA
HEP_00362800	Pfam:PF00096.26(zf-C2H2),Pfam:PF13894.6(zf-C2H2_4)
HEP_00328300	NA
HEP_00382500	Pfam:PF03448.17(MgtE_N)
HEP_00171200	Pfam:PF06103.11(DUF948)
HEP_00401500	NA
HEP_00195800	Pfam:PF00226.31(DnaJ)
HEP_00392300	NA
HEP_00130400	Pfam:PF00578.21(AhpC-TSA),Pfam:PF00085.20(Thioredoxin),Pfam:PF13098.6(Thioredoxin_2),Pfam:PF13905.6(Thioredoxin_8),Pfam:PF13728.6(TraF)
HEP_00391300	NA
HEP_00288100	NA
HEP_00435800	NA
HEP_00517500	NA
HEP_00155500	Pfam:PF00656.22(Peptidase_C14)
HEP_00216900	NA
HEP_00148900	NA
HEP_00176500	Pfam:PF03770.16(IPK)
HEP_00321100	NA
HEP_00358600	NA
HEP_00256900	NA
HEP_00358100	NA
HEP_00293500	Pfam:PF01391.18(Collagen)
HEP_00255100	NA
HEP_00153200	Pfam:PF00462.24(Glutaredoxin)
HEP_00453900	NA
HEP_00166200	Pfam:PF12059.8(DUF3540)
HEP_00055800	NA
HEP_00208100	NA
HEP_00278700	NA
HEP_00391400	NA
HEP_00458500	NA
HEP_00268500	NA
HEP_00199000	NA
HEP_00512500	NA
HEP_00123700	NA
HEP_00518400	NA
HEP_00357300	NA
HEP_00077400	NA
HEP_00341100	NA
HEP_00122600	NA
HEP_00120700	NA
HEP_00221100	NA
HEP_00039500	NA
HEP_00510800	Pfam:PF11567.8(PfUIS3)
HEP_00490000	NA
HEP_00141100	NA
HEP_00209200	NA
HEP_00078900	NA
HEP_00349000	NA
HEP_00140400	Pfam:PF01456.17(Mucin)
HEP_00240900	Pfam:PF04147.12(Nop14)
HEP_00035100	NA
HEP_00161300	Pfam:PF12879.7(SICA_C)
HEP_00347400	NA
HEP_00158500	NA
HEP_00452500	NA
HEP_00157900	NA
HEP_00136000	NA
HEP_00414000	NA
HEP_00205400	Pfam:PF01237.18(Oxysterol_BP)
HEP_00230300	Pfam:PF06825.12(HSBP1)
HEP_00051600	NA
HEP_00269000	Pfam:PF03189.13(Otopetrin)
HEP_00213100	NA
HEP_00226000	NA
HEP_00238300	NA
HEP_00185300	Pfam:PF13086.6(AAA_11),Pfam:PF13087.6(AAA_12),Pfam:PF13245.6(AAA_19),Pfam:PF13604.6(AAA_30)
HEP_00166800	Pfam:PF00656.22(Peptidase_C14)
HEP_00307100	Pfam:PF13599.6(Pentapeptide_4)
HEP_00271300	NA
HEP_00079800	NA
HEP_00036050	NA
HEP_00239200	NA
HEP_00003600	NA
HEP_00193100	NA
HEP_00089500	NA
HEP_00300300	NA
HEP_00140600	Pfam:PF00063.21(Myosin_head)
HEP_00157100	Pfam:PF04615.13(Utp14)
HEP_00324100	Pfam:PF01612.20(DNA_pol_A_exo1)
HEP_00308200	NA
HEP_00376700	NA
HEP_00378700	NA
HEP_00086700	NA
HEP_00034800	NA
HEP_00214200	NA
HEP_00352000	NA
HEP_00365100	NA
HEP_00205100	Pfam:PF00076.22(RRM_1)
HEP_00459300	NA
HEP_00401300	Pfam:PF07699.13(Ephrin_rec_like)
HEP_00271200	NA
HEP_00429000	Pfam:PF07422.13(s48_45)
HEP_00105500	Pfam:PF00439.25(Bromodomain)
HEP_00207500	NA
HEP_00347900	NA
HEP_00471700	NA
HEP_00350400	NA
