Gene	hep_dn	pberghei_dn	povale_dn	PBANKA_transcript	PocGH01_transcript
HEP_00000500	NA	NA	NA	NA	NA
HEP_00000600	NA	NA	NA	NA	NA
HEP_00000700	NA	NA	NA	NA	NA
HEP_00001200	NA	NA	NA	NA	NA
HEP_00001400	NA	NA	NA	NA	NA
HEP_00001500	NA	NA	NA	NA	NA
HEP_00001600	NA	NA	NA	NA	NA
HEP_00001700	NA	NA	NA	NA	NA
HEP_00001800	NA	NA	NA	NA	NA
HEP_00001900	NA	NA	NA	NA	NA
HEP_00002000	NA	NA	NA	NA	NA
HEP_00002100	NA	NA	NA	NA	NA
HEP_00002200	NA	NA	NA	NA	NA
HEP_00002300	NA	NA	NA	NA	NA
HEP_00002400	NA	NA	NA	NA	NA
HEP_00004000	NA	NA	NA	NA	NA
HEP_00004600	NA	NA	NA	NA	NA
HEP_00006600	NA	NA	NA	NA	NA
HEP_00008200	NA	NA	NA	NA	NA
HEP_00009900	NA	NA	NA	NA	NA
HEP_00010300	NA	NA	NA	NA	NA
HEP_00011300	NA	NA	NA	NA	NA
HEP_00013200	NA	NA	NA	NA	NA
HEP_00013800	NA	NA	NA	NA	NA
HEP_00015200	NA	NA	NA	NA	NA
HEP_00016200	NA	NA	NA	NA	NA
HEP_00018100	NA	NA	NA	NA	NA
HEP_00020100	NA	NA	NA	NA	NA
HEP_00020700	NA	NA	NA	NA	NA
HEP_00021000	NA	NA	NA	NA	NA
HEP_00021800	NA	NA	NA	NA	NA
HEP_00023100	NA	NA	NA	NA	NA
HEP_00023200	NA	NA	NA	NA	NA
HEP_00024000	NA	NA	NA	NA	NA
HEP_00025000	NA	NA	NA	NA	NA
HEP_00025400	NA	NA	NA	NA	NA
HEP_00025700	NA	NA	NA	NA	NA
HEP_00025800	NA	NA	NA	NA	NA
HEP_00026200	NA	NA	NA	NA	NA
HEP_00027100	NA	NA	NA	NA	NA
HEP_00027200	NA	NA	NA	NA	NA
HEP_00027600	NA	NA	NA	NA	NA
HEP_00027700	NA	NA	NA	NA	NA
HEP_00028000	NA	NA	NA	NA	NA
HEP_00030100	NA	NA	NA	NA	NA
HEP_00030600	NA	NA	NA	NA	NA
HEP_00030700	NA	NA	NA	NA	NA
HEP_00031400	NA	NA	NA	NA	NA
HEP_00032200	NA	NA	NA	NA	NA
HEP_00032400	NA	NA	NA	NA	NA
HEP_00032500	NA	NA	NA	NA	NA
HEP_00032600	NA	NA	NA	NA	NA
HEP_00032700	NA	NA	NA	NA	NA
HEP_00033500	NA	NA	NA	NA	NA
HEP_00033600	NA	NA	NA	NA	NA
HEP_00034700	NA	NA	NA	NA	NA
HEP_00036100	NA	NA	NA	NA	NA
HEP_00037600	NA	NA	NA	NA	NA
HEP_00038000	NA	NA	NA	NA	NA
HEP_00038200	NA	NA	NA	NA	NA
HEP_00038900	NA	NA	NA	NA	NA
HEP_00039800	NA	NA	NA	NA	NA
HEP_00041800	NA	NA	NA	NA	NA
HEP_00041900	NA	NA	NA	NA	NA
HEP_00042700	NA	NA	NA	NA	NA
HEP_00044400	NA	NA	NA	NA	NA
HEP_00044700	NA	NA	NA	NA	NA
HEP_00044800	NA	NA	NA	NA	NA
HEP_00046000	NA	NA	NA	NA	NA
HEP_00046300	NA	NA	NA	NA	NA
HEP_00047100	NA	NA	NA	NA	NA
HEP_00047600	NA	NA	NA	NA	NA
HEP_00048400	NA	NA	NA	NA	NA
HEP_00048500	NA	NA	NA	NA	NA
HEP_00049200	NA	NA	NA	NA	NA
HEP_00049800	NA	NA	NA	NA	NA
HEP_00050600	NA	NA	NA	NA	NA
HEP_00051200	NA	NA	NA	NA	NA
HEP_00052200	NA	NA	NA	NA	NA
HEP_00054200	NA	NA	NA	NA	NA
HEP_00054600	NA	NA	NA	NA	NA
HEP_00054900	NA	NA	NA	NA	NA
HEP_00055000	NA	NA	NA	NA	NA
